parcel_id,crop_code,crop_name,crop_purity,area_mu,area_ha,area_m2,perimeter_m,compactness,machinery_suitability,center_lon,center_lat
GLC10_P0218,10,大田农作物 (通用耕地),0.981,39.15,2.61,26100.0,1387.6,0.17,良 (标准规整农机作业区),-13.928117,16.289255
GLC10_P0219,10,大田农作物 (通用耕地),1.0,37.8,2.52,25200.0,1382.4,0.166,良 (标准规整农机作业区),-13.185329,16.820722
GLC10_P0220,10,大田农作物 (通用耕地),0.988,37.65,2.51,25100.0,873.0,0.414,优 (集中连片优质适机区),-13.940932,16.156808
GLC10_P0221,10,大田农作物 (通用耕地),0.996,37.65,2.51,25100.0,1123.4,0.25,良 (标准规整农机作业区),-13.108932,16.224285
GLC10_P0222,10,大田农作物 (通用耕地),1.0,37.5,2.5,25000.0,788.7,0.505,优 (集中连片优质适机区),-13.480449,16.058377
GLC10_P0223,10,大田农作物 (通用耕地),1.0,37.5,2.5,25000.0,1170.8,0.229,良 (标准规整农机作业区),-13.223297,17.230786
GLC10_P0224,10,大田农作物 (通用耕地),1.0,37.2,2.48,24800.0,1203.0,0.215,良 (标准规整农机作业区),-13.379937,17.251581
GLC10_P0225,10,大田农作物 (通用耕地),0.992,37.2,2.48,24800.0,1355.5,0.17,良 (标准规整农机作业区),-13.9647,16.287343
GLC10_P0226,10,大田农作物 (通用耕地),0.996,36.75,2.45,24500.0,999.0,0.308,良 (标准规整农机作业区),-13.86892,16.198682
GLC10_P0227,10,大田农作物 (通用耕地),1.0,36.75,2.45,24500.0,1184.9,0.219,良 (标准规整农机作业区),-13.428636,16.066425
GLC10_P0228,10,大田农作物 (通用耕地),1.0,36.3,2.42,24200.0,1055.5,0.273,良 (标准规整农机作业区),-13.398697,16.015823
GLC10_P0229,10,大田农作物 (通用耕地),0.992,35.4,2.36,23600.0,839.3,0.421,优 (集中连片优质适机区),-13.458791,16.149135
